TFrames;DuraciónFr;TSegundos;DuraciónSeg;TMilisegundos;DuraciónMiliseg;INICIO Y FINAL DE POSESIÓN DE BALÓN;MARCADOR;DEFENSA CONTRARIA;SIMETRIA / ASIMETRIA;SECUENCIA OFENSIVA;MEDIOS TÁCTICOS SIMPLES;MEDIOS TÁCTICOS COMPLEJOS DESDOBLAMIENTOS;MEDIOS TÁCTICOS COMPLEJOS CRUCES;CONTRAATAQUE;FINALIZACIÓN
39428;489;0:26:17,130;0:0:19,575;1577130;19575;ON;;;;;;;;;;
39917;490;0:26:36,705;0:0:19,625;1596705;19625;;P1;MIXT1;IGUAL;;;;;;;
40408;61;0:26:56,330;0:0:2,450;1616330;2450;;P1;MIXT1;IGUAL;;;;;;;
40469;1938;0:26:58,780;0:1:17,524;1618780;77524;OFF;;;;;;;;;;
42407;470;0:28:16,304;0:0:18,825;1696304;18825;ON;;;;;;;;;;
42878;95;0:28:35,129;0:0:3,800;1715129;3800;;P1;MIXT1;;;;;;;;
42973;61;0:28:38,929;0:0:2,475;1718929;2475;OFF;;;;;;;;;;
43035;1085;0:28:41,404;0:0:43,434;1721404;43434;ON;;;;;;;;;;
44120;751;0:29:24,838;0:0:30,071;1764838;30071;;P2;MIXT1;;;;;;;;
44872;74;0:29:54,909;0:0:2,975;1794909;2975;;P2;SEIS;IGUAL;;;;;;;
44947;2240;0:29:57,884;0:1:29,621;1797884;89621;OFF;;;;;;;;;;
47187;497;0:31:27,505;0:0:19,901;1887505;19901;ON;;;;;;;;;;
47685;328;0:31:47,406;0:0:13,149;1907406;13149;;P3;SEIS;;;;;;;;
48013;1082;0:32:0,555;0:0:43,310;1920555;43310;OFF;;;;;;;;;;
49096;219;0:32:43,865;0:0:8,779;1963865;8779;ON;;;;;;;;;;
49316;68;0:32:52,644;0:0:2,750;1972644;2750;;P4;SEIS;IGUAL;;;;;;;
49384;2296;0:32:55,394;0:1:31,853;1975394;91853;OFF;;;;;;;;;;
51681;139;0:34:27,247;0:0:5,573;2067247;5573;ON;;;;;;;;;;
51820;61;0:34:32,820;0:0:2,455;2072820;2455;;P4;MIXT1;;;;;;;;
51881;1106;0:34:35,275;0:0:44,275;2075275;44275;OFF;;;;;;;;;;
52988;256;0:35:19,550;0:0:10,256;2119550;10256;ON;;;;;;;;;;
53245;481;0:35:29,806;0:0:19,275;2129806;19275;;P5;MIXT1;;;;;;;;
53727;61;0:35:49,081;0:0:2,450;2149081;2450;;P5;MIXT1;;;;;;;;
53788;200;0:35:51,531;0:0:8,000;2151531;8000;OFF;;;;;;;;;;
53988;106;0:35:59,531;0:0:4,256;2159531;4256;ON;;;;;;;;;;
54094;54;0:36:3,787;0:0:2,194;2163787;2194;;P5;MIXT1;;;;;;SEG;;
54149;2593;0:36:5,981;0:1:43,726;2165981;103726;OFF;;;;;;;;;;
56742;719;0:37:49,707;0:0:28,775;2269707;28775;ON;;;;;;;;;;
57462;55;0:38:18,482;0:0:2,200;2298482;2200;;P5;MIXT1;IGUAL;;;;;;;
57517;638;0:38:20,682;0:0:25,525;2300682;25525;OFF;;;;;;;;;;
58155;328;0:38:46,207;0:0:13,150;2326207;13150;ON;;;;;;;;;;
58483;73;0:38:59,357;0:0:2,950;2339357;2950;;P5;MIXT1;IGUAL;;;;;SEG;;
58557;6719;0:39:2,307;0:4:28,767;2342307;268767;OFF;;;;;;;;;;
65276;575;0:43:31,074;0:0:23,026;2611074;23026;ON;;;;;;;;;;
65852;67;0:43:54,100;0:0:2,699;2634100;2699;;P5;SEIS;IGUAL;;;;;;;
65919;115;0:43:56,799;0:0:4,600;2636799;4600;OFF;;;;;;;;;;
66034;197;0:44:1,399;0:0:7,900;2641399;7900;ON;;;;;;;;;;
66232;60;0:44:9,299;0:0:2,425;2649299;2425;;P5;SEIS;IGUAL;;;;;;;
66293;801;0:44:11,724;0:0:32,075;2651724;32075;OFF;;;;;;;;;;
67094;383;0:44:43,799;0:0:15,325;2683799;15325;ON;;;;;;;;;;
67478;389;0:44:59,124;0:0:15,575;2699124;15575;;P5;SEIS;IGUAL;;;;;;;
67867;136;0:45:14,699;0:0:5,475;2714699;5475;;P5;SEIS;IGUAL;;;;;;;
68004;350;0:45:20,174;0:0:14,025;2720174;14025;OFF;;;;;;;;;;
68354;835;0:45:34,199;0:0:33,400;2734199;33400;ON;;;;;;;;;;
69189;68;0:46:7,599;0:0:2,725;2767599;2725;;P5;SEIS;IGUAL;;;;;;;
69258;75;0:46:10,324;0:0:3,025;2770324;3025;OFF;;;;;;;;;;
69333;288;0:46:13,349;0:0:11,550;2773349;11550;ON;;;;;;;;;;
69622;68;0:46:24,899;0:0:2,750;2784899;2750;;P5;SEIS;IGUAL;;;;;;;
69691;1900;0:46:27,649;0:1:16,000;2787649;76000;OFF;;;;;;;;;;
71591;241;0:47:43,649;0:0:9,675;2863649;9675;ON;;;;;;;;;;
71833;61;0:47:53,324;0:0:2,475;2873324;2475;;P5;SEIS;IGUAL;;;;;;;
71894;1308;0:47:55,799;0:0:52,326;2875799;52326;OFF;;;;;;;;;;
73203;896;0:48:48,125;0:0:35,850;2928125;35850;ON;;;;;;;;;;
74099;55;0:49:23,975;0:0:2,201;2963975;2201;;P5;SEIS;IGUAL;;;;;;;
74154;1725;0:49:26,176;0:1:9,030;2966176;69030;OFF;;;;;;;;;;
75880;325;0:50:35,206;0:0:13,025;3035206;13025;ON;;;;;;;;;;
76205;621;0:50:48,231;0:0:24,850;3048231;24850;;P5;SEIS;IGUAL;;;;;;;
76827;285;0:51:13,081;0:0:11,403;3073081;11403;;P5;SEIS;IGUAL;;;;;;;
77112;61;0:51:24,484;0:0:2,475;3084484;2475;;P5;SEIS;IGUAL;;;;;;;
77173;813;0:51:26,959;0:0:32,531;3086959;32531;OFF;;;;;;;;;;
77987;321;0:51:59,490;0:0:12,869;3119490;12869;ON;;;;;;;;;;
78308;61;0:52:12,359;0:0:2,450;3132359;2450;;P5;SEIS;IGUAL;;;;;;;
78370;2082;0:52:14,809;0:1:23,314;3134809;83314;OFF;;;;;;;;;;
80453;478;0:53:38,123;0:0:19,150;3218123;19150;ON;;;;;;;;;;
80931;61;0:53:57,273;0:0:2,450;3237273;2450;;P5;SEIS;;;;;;;;
80993;1028;0:53:59,723;0:0:41,150;3239723;41150;OFF;;;;;;;;;;
82021;428;0:54:40,873;0:0:17,125;3280873;17125;ON;;;;;;;;;;
82449;61;0:54:57,998;0:0:2,450;3297998;2450;;P5;SEIS;;;;;;;;
82511;130;0:55:0,448;0:0:5,203;3300448;5203;OFF;;;;;;;;;;
82641;687;0:55:5,651;0:0:27,503;3305651;27503;ON;;;;;;;;;;
